<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
181119;000000;8501.0000000;8501.0100000;8015.0000000;8168.8400000;9626
191119;000000;8168.8400000;8197.8200000;7980.0700000;8123.3600000;7171
201119;000000;8123.3600000;8222.4100000;8030.0500000;8082.9600000;5093
211119;000000;8082.9700000;8114.9700000;7374.5000000;7616.4600000;16701
221119;000000;7616.4800000;7720.0000000;6775.4700000;7283.0300000;33374
231119;000000;7283.1900000;7361.4100000;7102.2100000;7329.2900000;7541
241119;000000;7329.2900000;7344.0000000;6865.0000000;6908.6400000;10369
251119;000000;6908.6400000;7379.9900000;6526.0000000;7127.0100000;26895
261119;000000;7127.0100000;7340.5900000;7021.8400000;7162.6700000;11694
271119;000000;7162.6700000;7678.7600000;6850.0000000;7523.7200000;18984
281119;000000;7524.7300000;7660.8200000;7370.6200000;7432.4100000;8387
291119;000000;7432.4100000;7870.1000000;7411.0000000;7760.0000000;10708
301119;000000;7759.9900000;7820.0000000;7453.0000000;7555.9200000;5946
011219;000000;7555.9200000;7555.9200000;7237.1600000;7404.2700000;8507
021219;000000;7405.3300000;7430.0000000;7157.3300000;7305.0100000;6877
031219;000000;7305.0100000;7412.8500000;7237.2600000;7302.9400000;5991
041219;000000;7302.9400000;7775.0000000;7080.0000000;7198.9900000;16272
051219;000000;7199.0000000;7489.8700000;7152.7800000;7393.5400000;9064
061219;000000;7393.5500000;7609.5000000;7305.7500000;7540.0800000;9139
071219;000000;7541.7600000;7643.0000000;7487.0000000;7502.1900000;4746
081219;000000;7502.2000000;7580.8400000;7387.5000000;7520.0000000;4089
091219;000000;7520.0000000;7659.3800000;7262.8700000;7337.5100000;10039
101219;000000;7337.5100000;7398.0000000;7156.0300000;7219.3700000;6991
111219;000000;7219.3700000;7263.3100000;7124.4500000;7201.2300000;5764
121219;000000;7201.2400000;7298.5000000;7075.0100000;7185.9100000;8379
131219;000000;7185.9100000;7299.2100000;7183.2900000;7249.9000000;5910
141219;000000;7249.9000000;7264.3300000;7008.0300000;7062.9100000;4164
151219;000000;7062.9200000;7220.0100000;7006.0100000;7111.0000000;4734
161219;000000;7111.0000000;7137.0000000;6803.2400000;6877.0300000;12891
171219;000000;6877.0400000;6933.2100000;6556.0000000;6616.6200000;13622
181219;000000;6616.6200000;6712.4800000;6590.0000000;6661.2000000;1602
